Available_date,Floor,Kitchen_type,Bedrooms,Dressing_room,Bathrooms,Toilets,Office,Professional_space,Small_pet-friendly,Armored_door,Primary_energy_consumption,Energy_class,Reference_number_of_the_EPC_report,CO_emission,Heating_type,Heat_pump,Photovoltaic_solar_panels,Thermic_solar_panels,Common_water_heater,Double_glazing,Type_of_building,Monthly_rental_price,Monthly_costs,Tenement_building,price,space,address,listing_type,Number_of_floors,Number_of_frontages,Outdoor_parking_spaces,Living_area,Living_room_surface,Bedroom_1_surface,Bedroom_2_surface,Furnished,Terrace_surface,Intercom,Visio_phone,Address,Website,External_reference,agency,Construction_year,Building_condition,Terrace_orientation,Caretaker,Elevator,Accessible_for_disabled_people,Secure_access_alarm,Air_conditioning,TV_cable,Swimming_pool,Internet,Available_as_of,Street_frontage_width,Terrace,Shower_rooms,Surroundings_type
January 31 2023 - 12:00 AM,2,USA installed,1,No,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,All kind,"€ 750
750 €","€ 30
30€",No,"€750 (+ €30)
750€ + 30€ per month",1 bedroom,1190 — Forest,Apartment for rent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March 1 2023 - 12:00 AM,3,Installed,2,NA,1,1,NA,NA,NA,NA,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,NA,No,NA,"€ 1,150
1150 €","€ 200
200€",No,"€1,150 (+ €200)
1150€ + 200€ per month","2 bedrooms | 90 m²
square meters",Ask for the exact address,Apartment for rent,3,2,1,"90 m²
square meters","30 m²
square meters","16 m²
square meters","12 m²
square meters",No,"10 m²
square meters",Yes,Yes,"Rue Des Carmélites 88
1180 - Uccle",http://www.immofadan.be,15274JADS,IMMO FADAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April 1 2023 - 12:00 AM,3,USA hyper equipped,2,No,1,1,No,No,No,No,"242 kWh/m²
kilowatt hour per square meters",E,20130605-0000169186-01-4,52 kg CO₂/m²,Gas,No,No,No,No,Yes,All kind,"€ 1,200
1200 €","€ 80
80€",No,"€1,200 (+ €80)
1200€ + 80€ per month","2 bedrooms | 90 m²
square meters",1040 — Etterbeek,Apartment for rent,3,2,NA,"90 m²
square meters",NA,"16 m²
square meters","10 m²
square meters",NA,"3 m²
square meters",Yes,No,NA,NA,NA,NA,1970,Good,South East,No,No,No,No,No,Yes,No,Yes,NA,NA,NA,NA,NA
NA,3,Installed,2,NA,1,1,NA,NA,NA,NA,"542 kWh/m²
kilowatt hour per square meters",G,Not specified,109 kg CO₂/m²,Gas,NA,NA,NA,NA,NA,NA,"€ 1,050
1050 €","€ 50
50€",No,"€1,050 (+ €50)
1050€ + 50€ per month","2 bedrooms | 75 m²
square meters",Ask for the exact address,Apartment for rent,3,2,NA,"75 m²
square meters","22 m²
square meters",NA,NA,No,NA,NA,NA,"Avenue Broqueville 1
1150 - Woluwe-Saint-Pierre",http://www.macnash.com,267766 - 5100893,Macnash Montgomery,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,Immediately,15 m,NA,NA,NA
NA,4,Hyper equipped,1,No,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,No,All kind,"€ 960
960 €","€ 80
80€",No,"€960 (+ €80)
960€ + 80€ per month","1 bedroom | 70 m²
square meters",1060 — Saint-Gilles,Apartment for rent,1,NA,NA,"70 m²
square meters","20 m²
square meters","14 m²
square meters",NA,Yes,"12 m²
square meters",No,No,NA,NA,NA,NA,NA,NA,North West,No,Yes,No,No,No,No,No,No,Immediately,NA,NA,NA,NA
NA,1,Installed,NA,No,1,1,No,NA,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,NA,"€ 795
795 €",NA,No,"€795/month
795€ per month","28 m²
square meters",1000 — Bruxelles,Studio for rent,4,NA,NA,"28 m²
square meters",NA,NA,NA,No,NA,No,Yes,"Avenue des Genêts 16
1640 - Rhode-Saint-Genèse",NA,8104280,Belgoimmo SPRL,1910,As new,NA,No,No,No,No,NA,No,No,NA,To be defined,NA,NA,NA,NA
August 1 2022 - 12:00 AM,NA,NA,3,No,2,3,Yes,NA,Yes,No,"123 kWh/m²
kilowatt hour per square meters",C,Not specified,Not specified,Gas,No,No,No,No,Yes,NA,"€ 2,700
2700 €",NA,No,"€2,700/month
2700€ per month","3 bedrooms | 270 m²
square meters",1050 — Ixelles,Ground floor for rent,NA,NA,NA,"270 m²
square meters",NA,NA,NA,Yes,NA,Yes,No,"Chaussée de Waterloo 256
1060 - Saint-Gilles",http://www.pearlimmo.eu,8103593,Pearl Immo,NA,As new,NA,No,No,No,No,NA,Yes,No,NA,To be defined,NA,Yes,NA,NA
NA,2,Hyper equipped,1,No,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,Apartment building,"€ 1,050
1050 €","€ 150
150€",No,"€1,050 (+ €150)
1050€ + 150€ per month","1 bedroom | 50 m²
square meters",1040 — Brussels,Apartment for rent,3,2,NA,"50 m²
square meters",NA,NA,NA,Yes,NA,Yes,No,NA,NA,NA,NA,NA,Just renovated,NA,No,No,No,No,No,No,No,No,Immediately,NA,NA,NA,NA
NA,3,Hyper equipped,2,No,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,Apartment building,"€ 1,250
1250 €","€ 200
200€",No,"€1,250 (+ €200)
1250€ + 200€ per month","2 bedrooms | 60 m²
square meters",1040 — Brussels,Apartment for rent,3,2,NA,"60 m²
square meters",NA,NA,NA,Yes,NA,Yes,No,NA,NA,NA,NA,NA,Just renovated,NA,No,No,No,No,No,No,No,No,Immediately,NA,NA,NA,NA
February 15 2023 - 12:00 AM,3,Not installed,2,NA,1,1,NA,NA,NA,NA,"488 kWh/m²
kilowatt hour per square meters",G,20191022-0000558795-01-0,115 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 890
890 €","€ 15
15€",No,"€890 (+ €15)
890€ + 15€ per month","2 bedrooms | 97 m²
square meters",Ask for the exact address,Apartment for rent,3,NA,NA,"97 m²
square meters","35 m²
square meters","18 m²
square meters","8 m²
square meters",No,"2 m²
square meters",NA,NA,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",http://www.sorimo.be,5233528,Sorimo - Bruxelles,1970,As new,NA,NA,NA,NA,NA,NA,NA,NA,NA,Depending on the tenant,NA,NA,1,NA
